dataset,feature_set,model,target,r2,mae,rmse,nmae,nrmse
powery,full,Ridge,C-13,0.9946393547354097,17.587871238265926,24.1338848774034,0.009696031544700187,0.01330478861809871
powery,full,Ridge,C-14,0.994961644830863,17.8290256375408,23.240807210673996,0.012694985628183015,0.0165483924654659
powery,full,Ridge,C-15,0.9948971810670141,15.725472126205823,19.8052011597529,0.011567535997318221,0.014568553205330436
powery,full,KNN,A-2,0.9446549530460483,20.645676773819833,24.521631088614136,0.03503366233523359,0.04161077173101204
powery,full,KNN,B-1,0.9460866592916942,25.021830859802847,31.285487751625844,0.034646914602512194,0.04331999638642999
powery,full,KNN,B-2,0.9511778624886189,24.821564583974087,30.93957063065408,0.030156865105441404,0.03758991318908738
powery,full,KNN,B-4,0.9415425012747842,24.43480477447316,29.467889434512326,0.03524309739578024,0.04250247575022802
powery,full,KNN,B-5,0.9502834460568326,23.901303001992545,29.085366242005733,0.030286348947213666,0.036855294089592455
powery,full,KNN,B-7,0.9385328337066526,25.07991853132147,30.47336165304334,0.03607235737322432,0.043829727378869976
powery,full,KNN,B-8,0.9319047529202595,28.585592460661555,34.570455261611656,0.039017933966618096,0.047186978630922236
powery,full,KNN,C-1,0.9478408357144772,53.82997518945796,66.10408409591969,0.036653983279317785,0.04501168697586493
powery,full,KNN,C-2,0.948599874410664,61.95513618624993,77.51110413230728,0.0384498233016881,0.04810397396023147
powery,full,KNN,C-3,0.950635405564184,61.405792050963825,76.95998627122307,0.03367417094585635,0.04220389717531941
powery,full,KNN,C-4,0.9380309056748054,63.405853059675685,81.8578585984361,0.0397508506613816,0.051318913879203454
powery,full,KNN,C-5,0.9343052961967707,59.68950864415987,76.50064313401418,0.037369797323510257,0.047894740532698425
powery,full,KNN,C-6,0.9348684460831185,59.928597724122916,76.44252152901997,0.03680399327080154,0.04694570129787445
powery,full,KNN,C-7,0.9383850068848316,66.07126215742981,82.57954836657457,0.04165161648629677,0.05205851327587169
powery,full,KNN,C-8,0.946612956505969,68.60109133659248,83.62198791703668,0.03988250852310211,0.04861518353194196
powery,full,KNN,C-9,0.9487942507603108,64.72588641654065,77.5850394893853,0.04427410952673585,0.05307008874136264
powery,full,KNN,C-10,0.9482789409710551,56.74417901822124,69.36643699153223,0.04126679208916386,0.05044623753172026
powery,full,KNN,C-11,0.9447854128057097,52.51982412307163,66.13655080849195,0.03635775165744019,0.0457841649305621
powery,full,KNN,C-12,0.9421889429081778,60.41462100370276,74.4202339011448,0.039995762584193545,0.049267775864850864
powery,full,KNN,C-13,0.9395401612833492,64.98667173988319,81.04984606007226,0.035826554029122486,0.04468203419534681
powery,full,KNN,C-14,0.9471972029629769,60.454587483999916,75.23766049591718,0.04304610553989706,0.05357224999904855
powery,full,KNN,C-15,0.9490738462718097,50.00566292128928,62.56689705442616,0.03678377992529875,0.04602372686232348
powery,full,RandomForest,A-2,0.8827498554892582,29.176076631927046,35.691653463127636,0.04950890339840944,0.060565189957782886
